שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2020,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אשדות יעקב (איחוד),199,ASHDOT YA'AQOV(IHUD),2,22,221,6,,1,1016,1012,986,4,1933,330,15,2547172936,-200,214,10004552,2020,Ashdot Ya'aqov(Ihud),214
אשדות יעקב (מאוחד),188,ASHDOT YA'AQOV(ME'UHAD),2,22,221,6,,1,583,579,534,3,1933,330,15,2550172977,-200,214,10004552,2020,Ashdot Ya'aqov(Me'uhad),214
אשחר,1188,ESHHAR,2,24,241,56,241,1,965,964,946,1,1986,370,13,2284675455,363,205,10004513,2020,Eshhar,210
אשכולות,3722,ESHKOLOT,7,77,,78,,1,588,588,575,,1982,370,11,1907558887,564,715,15003512,2020,Eshkolot,
אשל הנשיא,2021,ESHEL HANASI,6,62,622,42,344,1,139,139,133,,1952,340,,1711958167,192,651,10001893,2020,Eshel HaNasi,620
אשלים,1152,ASHALIM,6,62,626,48,,1,666,664,616,2,1976,370,19,1712654161,327,620,10001918,2020,Ashalim,610
אשקלון,7100,ASHQELON,6,61,614,0,,1,146519,146159,126348,359,1948,140,,1596861983,36,604,10001805,2020,Ashqelon,
אשרת,1256,ASHERAT,2,24,245,4,,1,563,563,557,,1983,370,13,2148876406,61,201,10004302,2020,Asherat,212
אשתאול,740,ESHTA'OL,1,11,112,26,444,1,1253,1253,1229,,1949,310,1,2009563206,281,151,15000597,2020,Eshta'ol,
באקה אל-גרביה,6000,BAQA AL-GHARBIYYE,3,32,324,0,,2,30457,27,14,30430,,260,,2041570285,68,354,15002436,2020,Baqa Al-Gharbiyye,
באר אורה,21,BE'ER ORA,6,62,625,53,,1,1140,1114,1046,26,1950,370,19,1983840253,108,608,10001955,2020,Be'er Ora,610
באר גנים,1376,BE'ER GANNIM,6,61,614,36,,1,1763,1763,1756,,2012,370,,1629862324,31,633,10001805,2020,Be'er Gannim,
באר טוביה,155,BE'ER TOVIYYA,6,61,611,33,143,1,1301,1301,1277,,1930,310,1,1739062698,53,616,10001821,2020,Be'er Toviyya,420
באר יעקב,2530,BE'ER YA'AQOV,4,43,432,99,133,1,29015,28914,27869,101,1907,160,,1849365000,66,455,10002228,2020,Be'er Ya'aqov,
באר מילכה,1278,BE'ER MILKA,6,62,626,48,,1,193,193,192,,2006,310,1,1432753827,217,620,10001918,2020,Be'er Milka,610
באר שבע,9000,BE'ER SHEVA,6,62,623,0,310,1,210595,204645,181571,5950,1948,130,,1795757361,291,605,10001900,2020,Be'er Sheva,
בארות יצחק,450,BE'EROT YIZHAQ,4,42,422,25,142,1,469,469,466,,1948,330,3,1916866088,51,424,10002116,2020,Be'erot Yizhaq,
בארותיים,697,BE'EROTAYIM,4,41,412,16,141,1,1143,1143,1121,,1949,310,1,1986469199,35,409,15000060,2020,Be'erotayim,
בארי,399,BE'ERI,6,62,622,38,,1,1040,1040,991,,1946,330,15,1516059265,88,651,10001893,2020,Be'eri,620
בוסתן הגליל,559,BUSTAN HAGALIL,2,24,246,4,241,1,1302,1302,1271,,1948,310,10,2080176185,7,201,10004315,2020,Bustan HaGalil,212
בועיינה-נוג'ידאת,482,BU'EINE-NUJEIDAT,2,25,237,99,,2,9996,14,4,9983,,280,,2348174591,216,251,10004552,2020,Bu'eine-Nujeidat,214
בוקעאתא,4001,BUQ'ATA,2,29,292,99,,2,6665,,,6665,,280,,2730078972,1096,256,10004579,2020,Buq'ata,211
בורגתה,698,BURGETA,4,41,411,16,141,1,1136,1134,1117,2,1949,310,1,1966969241,28,409,15000060,2020,Burgeta,
בחן,2043,BAHAN,4,41,412,16,141,1,1115,1109,1081,6,1953,330,15,2021069538,64,409,10002155,2020,Bahan,
בטחה,762,BITHA,6,62,622,42,344,1,794,794,788,,1950,310,1,1650258264,120,651,10001893,2020,Bitha,620
"בי""ס אזורי מקיף (אשר)",1725,,2,24,245,4,,,,,,,,520,,2144276829,73,201,10004302,2020,,212
ביצרון,234,BIZZARON,6,61,611,33,143,1,1234,1234,1224,,1935,310,1,1744563381,55,616,10001821,2020,Bizzaron,420
ביר אל-מכסור,998,BIR EL-MAKSUR,2,24,241,99,241,2,9730,4,,9726,,280,,2211274310,243,261,10004497,2020,Bir El-Maksur,310
ביר הדאג',1348,BIR HADAGE,6,62,626,68,,2,6012,18,15,5995,,280,,1714654845,288,624,10001918,2020,Bir Hadage,610
בירייה,368,BIRIYYA,2,21,212,2,,1,816,816,812,,1945,350,,2471076480,810,209,10004528,2020,Biriyya,211
בית אורן,317,BET OREN,3,32,322,15,223,1,541,531,504,11,1939,330,15,2007573739,357,303,10004171,2020,Bet Oren,
בית אל,3574,BET EL,7,74,,99,445,1,5684,5684,5670,,1977,180,,2212164986,853,722,10003299,2020,Bet El,710
בית אלעזרי,562,BET EL'AZARI,4,44,441,28,143,1,1557,1557,1544,,1948,310,1,1814663909,43,456,15002488,2020,Bet El'azari,420
בית אלפא,95,BET ALFA,2,23,232,8,,1,1179,1179,634,,1922,330,15,2407871366,-83,204,10004568,2020,Bet Alfa,213
בית אריה-עופרים,3652,BET ARYE-OFARIM,7,74,,99,145,1,5351,5349,5135,2,1981,180,,2048666000,296,719,10004054,2020,Bet Arye-Ofarim,
בית ברל,1076,BET BERL,4,42,421,20,141,1,226,186,174,40,1947,340,,1932267865,69,417,10002133,2020,Bet Berl,410
בית ג'ן,480,BEIT JANN,2,24,243,99,,2,12151,1,,12150,,270,,2356776325,901,258,10004465,2020,Beit Jann,212
בית גוברין,619,BET GUVRIN,6,61,612,35,,1,436,436,429,,1949,330,15,1901861345,265,632,10001813,2020,Bet Guvrin,420
בית גמליאל,571,BET GAMLI'EL,4,44,441,29,143,1,1025,1015,1015,10,1949,310,2,1775164051,30,456,15002488,2020,Bet Gamli'el,420
בית דגן,466,BET DAGAN,4,43,432,99,133,1,7299,7289,7141,9,1948,180,,1840765643,34,455,10002207,2020,Bet Dagan,
בית הגדי,723,BET HAGADDI,6,62,621,39,,1,842,842,842,,1949,310,2,1626059275,148,651,10001930,2020,Bet HaGaddi,620
בית הלוי,373,BET HALEWI,4,41,411,16,141,1,827,827,822,,1945,310,1,1937569557,18,409,15000060,2020,Bet HaLewi,
בית הלל,322,BET HILLEL,2,21,211,55,,1,789,789,777,,1940,310,1,2568779040,87,253,10004591,2020,Bet Hillel,211
בית העמק,572,BET HAEMEQ,2,24,245,4,,1,713,694,659,19,1949,330,15,2138176405,47,201,10004302,2020,Bet HaEmeq,212
בית הערבה,3645,BET HAARAVA,7,75,,74,,1,398,398,395,,1980,330,15,2452263505,-301,713,10003314,2020,Bet HaArava,710
בית השיטה,242,BET HASHITTA,2,23,232,8,,1,1261,1260,1214,1,1935,330,15,2415671754,-27,204,10004568,2020,Bet HaShitta,213
בית זיד,353,BET ZEID,2,23,235,9,,1,78,78,75,,1943,350,,2110773411,108,254,10004207,2020,Bet Zeid,213
בית זית,710,BET ZAYIT,1,11,111,26,444,1,1683,1683,1641,,1949,310,1,2154163215,596,151,10002475,2020,Bet Zayit,
בית זרע,143,BET ZERA,2,22,221,6,,1,599,599,560,,1926,330,15,2540573277,-200,214,10004552,2020,Bet Zera,214
בית חולים פוריה,1712,,2,22,221,6,,,,,,,,520,,2509473984,195,214,10004552,2020,,214
בית חורון,3575,BET HORON,7,74,,73,445,1,1454,1454,1454,,1977,370,11,2121064280,630,711,10004054,2020,Bet Horon,710
בית חירות,877,BET HERUT,4,41,411,16,141,1,905,905,893,,1933,320,1,1878069841,20,409,15000060,2020,Bet Herut,
בית חלקיה,2033,BET HILQIYYA,4,44,441,31,143,1,1407,1407,1407,,1953,310,8,1822563335,66,456,15002488,2020,Bet Hilqiyya,420
בית חנן,159,BET HANAN,4,44,442,27,143,1,526,525,523,2,1930,310,1,1786964904,39,456,15002488,2020,Bet Hanan,
בית חנניה,800,BET HANANYA,3,32,324,15,,1,914,914,888,,1950,310,1,1932771490,10,303,10004333,2020,Bet Hananya,
בית חשמונאי,1050,BET HASHMONAY,4,43,432,30,143,1,2192,2192,2179,,1972,190,,1924564399,104,426,10002228,2020,Bet Hashmonay,
בית יהושע,288,BET YEHOSHUA,4,41,411,19,141,1,1080,1080,1064,,1938,310,6,1875268523,23,401,15000060,2020,Bet Yehoshua,
בית יוסף,265,BET YOSEF,2,23,231,7,,1,485,485,483,,1937,310,1,2520671839,-231,202,10004568,2020,Bet Yosef,214
בית ינאי,200,BET YANNAY,4,41,411,16,141,1,370,370,369,,1933,310,10,1873769865,16,409,15000060,2020,Bet Yannay,
בית יצחק-שער חפר,326,BET YIZHAQ-SH. HEFER,4,41,411,16,141,1,2136,2136,2108,,1940,191,10,1899269342,27,409,15000060,2020,Bet Yizhaq-Sh. Hefer,
בית לחם הגלילית,430,BET LEHEM HAGELILIT,2,23,237,9,242,1,837,836,822,1,1948,310,1,2181773782,160,254,10004411,2020,Bet Lehem HaGelilit,213
בית מאיר,751,BET ME'IR,1,11,111,26,444,1,817,817,817,,1950,310,2,2035663349,575,151,15000597,2020,Bet Me'ir,
בית נחמיה,784,BET NEHEMYA,4,43,432,25,142,1,889,889,878,,1950,310,6,1958765375,82,424,10002168,2020,Bet Nehemya,
בית ניר,16,BET NIR,6,61,612,35,,1,608,608,596,,1955,330,15,1879961738,240,632,10001813,2020,Bet Nir,420
בית נקופה,672,BET NEQOFA,1,11,111,26,444,1,739,739,720,,1949,310,1,2120163464,660,151,10002475,2020,Bet Neqofa,
בית עובד,202,BET OVED,4,44,442,27,143,1,257,257,256,,1933,310,1,1787064773,31,456,15002488,2020,Bet Oved,
בית עוזיאל,301,BET UZZI'EL,4,43,432,30,143,1,645,645,637,,1956,310,2,1911464200,132,426,10002228,2020,Bet Uzzi'el,
בית עזרא,756,BET EZRA,6,61,611,33,143,1,1106,1105,1081,1,1950,310,1,1674262732,44,616,10001821,2020,Bet Ezra,420
בית עריף,604,BET ARIF,4,43,432,25,142,1,1189,1188,1174,1,1951,310,1,1939465589,59,424,10002168,2020,Bet Arif,
בית צבי,212,BET ZEVI,3,32,321,15,223,1,314,314,312,,1953,340,,1974473615,41,303,10004333,2020,Bet Zevi,
בית קמה,598,BET QAMA,6,62,621,41,341,1,1423,1423,1414,,1949,330,15,1773159525,238,625,10001946,2020,Bet Qama,620
בית קשת,365,BET QESHET,2,22,222,3,,1,695,695,684,,1944,330,15,2372373602,187,206,10004552,2020,Bet Qeshet,214
בית רבן,848,BET RABBAN,4,44,441,29,143,1,931,931,925,,1946,340,,1744963615,54,456,10001821,2020,Bet Rabban,420
בית רימון,1162,BET RIMMON,2,23,237,3,,1,866,866,865,,1977,330,3,2310474304,396,206,15002369,2020,Bet Rimmon,214
בית שאן,9200,BET SHE'AN,2,23,231,0,,1,18705,18554,18213,151,1948,170,,2469671125,-131,203,10004568,2020,Bet She'an,214
בית שמש,2610,BET SHEMESH,1,11,112,0,444,1,132544,132432,130496,112,1950,140,,1990062669,302,102,10002507,2020,Bet Shemesh,
בית שערים,248,BET SHE'ARIM,2,23,235,9,,1,788,788,781,,1936,310,1,2169973357,74,254,10004411,2020,Bet She'arim,213
בית שקמה,747,BET SHIQMA,6,61,614,36,,1,893,888,871,4,1950,310,1,1628461632,53,633,10001829,2020,Bet Shiqma,
ביתן אהרן,252,BITAN AHARON,4,41,411,16,141,1,138,138,133,,1936,310,10,1880069686,25,409,15000060,2020,Bitan Aharon,
ביתר עילית,3780,BETAR ILLIT,7,76,,0,445,1,61125,61124,61118,1,1985,150,,2107462248,701,716,15000586,2020,Betar Illit,
בלפוריה,94,BALFURYA,2,23,234,9,,1,543,543,529,,1922,310,1,2280972620,86,254,10004394,2020,Balfurya,213
בן זכאי,760,BEN ZAKKAY,4,44,441,29,143,1,1135,1135,1120,,1950,310,2,1744464050,31,456,15002488,2020,Ben Zakkay,420
בן עמי,712,BEN AMMI,2,24,245,4,,1,777,775,751,2,1949,310,1,2119076783,28,201,10004302,2020,Ben Ammi,212
בן שמן (כפר נוער),1084,BEN SHEMEN(K.NO'AR),4,43,432,25,142,1,671,667,605,4,1921,340,,1932665185,69,424,10002261,2020,Ben Shemen(K.No'ar),
בן שמן (מושב),2013,BEN SHEMEN (MOSHAV),4,43,432,25,142,1,873,873,863,,1952,310,1,1928365110,65,424,10002261,2020,Ben Shemen (Moshav),
בני ברק,6100,BENE BERAQ,5,52,512,0,122,1,208793,208727,207432,66,1924,130,,1845566599,27,501,15003979,2020,Bene Beraq,
בני דקלים,1368,BNE DEQALIM,6,61,612,50,,1,1426,1426,1426,,2009,370,11,1924560284,390,634,10001813,2020,Bne Dkalim,
בני דרום,592,BENE DAROM,4,44,441,29,143,1,925,924,923,1,1949,320,2,1708963652,35,456,10001836,2020,Bene Darom,420
בני דרור,386,BENE DEROR,4,41,411,18,141,1,1209,1209,1199,,1946,320,1,1907168542,33,412,15000060,2020,Bene Deror,410
בני יהודה,4015,BENE YEHUDA,2,29,294,71,,1,1120,1120,977,,1972,370,13,2648874494,345,219,10004579,2020,Bene Yehuda,211
בני נצרים,1363,BNE NETSARIM,6,62,622,38,,1,820,820,820,,2010,310,11,1346156141,99,651,10001893,2020,Bne Netsarim,620
בני עטרות,448,BENE ATAROT,4,42,422,25,142,1,958,958,951,,1948,310,1,1920265901,52,424,10002116,2020,Bene Atarot,
"בני עי""ש",1066,BENE AYISH,4,44,441,99,143,1,6925,6873,5559,51,1958,180,,1774163306,75,453,10001821,2020,Bene Ayish,420
בני ציון,418,BENE ZIYYON,4,41,411,19,141,1,1349,1346,1321,2,1947,310,10,1877968066,38,401,15000060,2020,Bene Ziyyon,
בני ראם,588,BENE RE'EM,4,44,441,31,143,1,1428,1417,1416,10,1949,310,8,1803363099,64,456,15002488,2020,Bene Re'em,420
בניה,685,BENAYA,4,44,441,28,143,1,780,780,779,,1949,310,1,1767263908,32,456,15002488,2020,Benaya,420
בנימינה-גבעת עדה*,9800,BINYAMINA-GIV'AT ADA,3,32,324,99,,1,15925,15896,15341,29,1903,170,,1966971417,35,353,10004333,2020,Binyamina-Giv'at Ada,
"בסמ""ה",1326,BASMA,3,32,323,99,,2,10259,3,,10256,,270,,2100771513,235,354,10004233,2020,Basma,
בסמת טבעון,944,BASMAT TAB'UN,2,23,237,99,242,2,7997,23,17,7975,,280,,2148073834,189,257,10004207,2020,Basmat Tab'un,
בענה,483,BI'NE,2,24,242,99,,2,8434,14,4,8420,,280,,2258875935,258,260,15002358,2020,Bi'ne,210
בצרה,389,BAZRA,4,41,411,19,141,1,1202,1200,1167,1,1946,310,10,1886968001,26,401,15000060,2020,Bazra,
בצת,589,BEZET,2,24,245,4,,1,306,299,293,7,1949,310,1,2129677511,29,201,10004302,2020,Bezet,212
בקוע,864,BEQOA,1,11,112,26,,1,790,787,774,3,1951,310,1,1930663736,149,151,15000597,2020,Beqoa,
בקעות,3612,BEQA'OT,7,75,,75,,1,192,192,189,,1972,310,10,2428968327,79,712,10003299,2020,Beqa'ot,710
"בקעת נטופה מ""א 56",1854,,2,24,241,56,,,,,,,,530,,2546075680,,,,2020,,210
"בקעת תירען מ""א 3",1884,,2,23,237,3,,,,,,,,530,,2334074370,,,,2020,,214
בר-לב,1728,,2,24,242,4,241,,,,,,,520,,2179175689,69,201,10004315,2020,,212
בר גיורא,823,BAR GIYYORA,1,11,111,26,444,1,696,693,678,3,1950,310,9,2069462636,695,151,15000597,2020,Bar Giyyora,
בר יוחאי,1191,BAR YOHAY,2,21,212,2,,1,1088,1088,1088,,1979,370,2,2423176694,712,209,10004528,2020,Bar Yohay,211
ברוכין,3744,BRUKHIN,7,73,,72,,1,1478,1478,1469,,2012,370,2,2086866535,381,710,15004488,2020,Brukhin,
ברור חיל,428,BEROR HAYIL,6,61,614,37,,1,1002,983,963,19,1948,330,15,1665060742,73,651,10001829,2020,Beror Hayil,620
ברוש,2060,BEROSH,6,62,621,41,344,1,584,584,581,,1953,310,1,1650958666,129,625,10001893,2020,Berosh,620
ברכה,3710,BERAKHA,7,72,,72,,1,2926,2919,2509,7,1983,190,11,2251867768,846,710,15004488,2020,Berakha,
ברכיה,746,BEREKHYA,6,61,614,36,,1,1252,1252,1252,,1950,310,1,1645461979,43,633,10001821,2020,Berekhya,
ברעם,667,BAR'AM,2,24,244,1,,1,638,638,572,,1949,330,15,2409177367,724,253,10004528,2020,Bar'am,211
ברק,141,BARAQ,2,23,234,8,,1,411,411,410,,1956,310,1,2251371652,72,204,10004394,2020,Baraq,213
ברקאי,617,BARQAY,3,32,324,14,,1,558,557,529,1,1949,330,15,2030170904,65,351,15002436,2020,Barqay,
ברקן,3654,BARQAN,7,73,,72,145,1,1933,1930,1801,3,1981,370,9,2101566821,441,710,15004488,2020,Barqan,
ברקת,2038,BAREQET,4,42,422,25,142,1,2127,2127,2119,,1952,191,2,1948865814,81,424,10002168,2020,Bareqet,
בת הדר,1323,BAT HADAR,6,61,614,36,,1,765,765,746,,1995,350,,1618161736,58,633,10001829,2020,Bat Hadar,
בת חן,1361,BAT HEN,4,41,411,16,141,1,428,428,415,,1967,350,,1881869630,35,409,15000060,2020,Bat Hen,
בת חפר,1319,BAT HEFER,4,41,412,16,141,1,5285,5283,5210,2,1996,180,,2014969329,56,409,10002155,2020,Bat Hefer,
בת ים,6200,BAT YAM,5,53,513,0,123,1,127803,126900,99673,903,1926,140,,1765265859,22,502,10001430,2020,Bat Yam,
בת עין,3794,BAT AYIN,7,76,,76,445,1,1605,1605,1600,,1989,370,11,2096361842,804,714,15000586,2020,Bat Ayin,
בת שלמה,33,BAT SHELOMO,3,32,322,15,243,1,659,659,636,,1889,310,7,2005972292,90,303,10004333,2020,Bat Shelomo,
בתי זיקוק - קישון,1736,,3,31,311,,210,,,,,,,520,,2057074449,3,,10004207,2020,,
ג'דיידה-מכר,1292,JUDEIDE-MAKER,2,24,246,99,241,2,21336,28,14,21308,,260,,2140675939,38,252,15002143,2020,Judeide-Maker,
ג'ולס,485,JULIS,2,24,243,99,,2,6567,,,6567,,280,,2174876080,111,252,15002143,2020,Julis,
ג'לג'וליה,627,JALJULYE,4,42,421,99,142,2,10356,164,125,10193,,270,,1957367322,37,451,15000658,2020,Jaljulye,410
ג'נאביב (שבט),976,JUNNABIB,6,62,623,,,3,,,,,,460,,2030056900,,699,15003711,2020,Janabib,
ג'סר א-זרקא,541,JISR AZ-ZARQA,3,32,324,99,,2,15127,15,,15112,,270,,1919671585,11,353,10004333,2020,Jisr Az-Zarqa,
ג'ש (גוש חלב),487,JISH(GUSH HALAV),2,21,212,99,,2,3127,10,6,3118,,290,,2419976974,744,258,10004528,2020,Jish(Gush Halav),211
ג'ת,628,JATT,3,32,324,99,,2,12269,11,3,12258,,270,,2036070065,56,354,15002436,2020,Jatt,
גאולי תימן,872,GE'ULE TEMAN,4,41,411,16,141,1,363,263,260,101,1947,310,2,1909769986,11,409,15000060,2020,Ge'ule Teman,
גאולים,379,GE'ULIM,4,41,411,18,141,1,969,969,947,,1945,310,1,1950268938,55,412,15000060,2020,Ge'ulim,410
"גאון הירדן מ""א 3",1963,,2,22,222,3,,,,,,,,530,,,,,,2020,,214
גאליה,853,GE'ALYA,4,44,442,27,143,1,968,968,956,,1948,310,1,1779264365,22,456,15002488,2020,Ge'alya,
גבולות,352,GEVULOT,6,62,622,38,,1,378,378,312,,1943,330,15,1490356905,131,651,10001893,2020,Gevulot,620
גבים,424,GEVIM,6,61,614,37,,1,624,623,604,1,1947,330,15,1617060180,116,651,10001829,2020,Gevim,620
גבע,86,GEVA,2,23,232,8,,1,617,617,593,,1921,330,15,2351971912,11,204,10004394,2020,Geva,213
גבע בנימין,3763,GEVA BINYAMIN,7,74,,73,445,1,5761,5742,5622,19,1984,180,,2262163967,571,711,10003299,2020,Geva Binyamin,710
גבע כרמל,683,GEVA KARMEL,3,32,321,15,243,1,1220,1220,1202,,1949,310,1,1960372982,22,303,10004333,2020,Geva Karmel,
גבעולים,2014,GIV'OLIM,6,62,621,39,,1,410,410,410,,1952,310,2,1611658959,120,651,10001930,2020,Giv'olim,620
גבעון החדשה,3644,GIV'ON HAHADASHA,7,74,,73,445,1,1044,981,951,63,1980,370,11,2150863946,796,711,10002489,2020,Giv'on HaHadasha,710
גבעות בר,1344,GEVA'OT BAR,6,62,623,41,341,1,1245,1237,1221,8,2004,370,19,1768358505,229,625,10001946,2020,Geva'ot Bar,620
גבעת אבני,1293,GIV'AT AVNI,2,22,222,3,,1,2084,2084,2054,,1991,190,,2414274234,283,206,10004552,2020,Giv'at Avni,214
גבעת אלה,1288,GIV'AT ELA,2,23,237,9,,1,1936,1933,1915,3,1988,370,13,2232973632,262,254,10004411,2020,Giv'at Ela,213
גבעת ברנר,147,GIV'AT BRENNER,4,44,441,28,143,1,2686,2686,2626,,1928,193,,1812764167,59,456,15002488,2020,Giv'at Brenner,420
גבעת השלושה,870,GIV'AT HASHELOSHA,4,42,422,20,142,1,886,886,868,,1925,330,15,1927566726,29,417,10002116,2020,Giv'at HaShelosha,410
גבעת זאב,3730,GIV'AT ZE'EV,7,74,,99,445,1,19225,19202,19041,23,1983,170,,2159164034,730,705,10002489,2020,Giv'at Ze'ev,710
"גבעת ח""ן",207,GIV'AT HEN,4,42,421,20,131,1,360,360,356,,1933,310,1,1883167498,62,417,10002133,2020,Giv'at Hen,410
גבעת חביבה,1740,,3,32,324,14,,,,,,,,520,,2022770712,51,351,15002436,2020,,
גבעת חיים (איחוד),2018,GIV'AT HAYYIM (IHUD),4,41,411,16,141,1,1192,1192,1165,,1932,330,15,1938370064,22,409,15000060,2020,Giv'at Hayyim (Ihud),
גבעת חיים (מאוחד),173,GIV'AT HAYYIM(ME'UHAD),4,41,411,16,141,1,1027,1022,993,5,1932,330,15,1937069975,20,409,15000060,2020,Giv'at Hayyim(Me'uhad),
גבעת יואב,4021,GIV'AT YO'AV,2,29,294,71,,1,740,738,718,2,1968,310,1,2641674503,312,219,10004579,2020,Giv'at Yo'av,211
גבעת יערים,787,GIV'AT YE'ARIM,1,11,111,26,444,1,1433,1432,1403,1,1950,310,1,2088163269,694,151,15000597,2020,Giv'at Ye'arim,
גבעת ישעיהו,919,GIV'AT YESHA'YAHU,1,11,112,26,444,1,812,812,800,,1958,310,6,1948961988,298,151,15000597,2020,Giv'at Yesha'yahu,
"גבעת כ""ח",802,GIV'AT KOAH,4,42,422,25,142,1,894,894,874,,1950,310,1,1940765983,69,424,10002168,2020,Giv'at Koah,
"גבעת ניל""י",360,GIV'AT NILI,3,32,323,45,,1,712,712,709,,1953,310,9,2041471707,135,351,10004233,2020,Giv'at Nili,
גבעת עוז,703,GIV'AT OZ,2,23,234,13,,1,466,465,440,1,1949,330,15,2189071785,114,254,10004249,2020,Giv'at Oz,213
גבעת שמואל,681,GIV'AT SHEMU'EL,4,42,422,0,132,1,27249,27201,26841,48,1942,160,,1860266489,48,427,10001516,2020,Giv'at Shemu'el,
גבעת שמש,566,GIV'AT SHEMESH,1,11,112,26,444,1,55,49,46,6,1954,340,,1955163138,253,151,15000597,2020,Giv'at Shemesh,
גבעת שפירא,1077,GIV'AT SHAPPIRA,4,41,411,16,141,1,407,407,404,,1958,310,10,1886069600,37,409,15000060,2020,Giv'at Shappira,
גבעתי,793,GIV'ATI,6,61,611,33,143,1,1048,1048,1039,,1950,310,1,1698062683,37,616,10001821,2020,Giv'ati,420
גבעתיים,6300,GIV'ATAYIM,5,52,512,0,122,1,61061,61013,58945,48,1922,150,,1822166429,42,503,10001533,2020,Giv'atayim,
גברעם,342,GEVAR'AM,6,61,614,36,,1,634,634,604,,1942,330,15,1632461117,86,633,10001829,2020,Gevar'am,
גבת,133,GEVAT,2,23,234,9,,1,933,933,919,,1926,330,15,2202173114,93,254,10004411,2020,Gevat,213
גדות,35,GADOT,2,21,213,1,,1,434,434,386,,1949,330,15,2582576941,117,253,10004540,2020,Gadot,211
גדיש,145,GADISH,2,23,234,8,,1,412,412,399,,1956,310,1,2232471831,66,204,10004394,2020,Gadish,213
גדעונה,442,GID'ONA,2,23,232,8,,1,496,496,486,,1949,350,,2339771717,-10,204,10004394,2020,Gid'ona,213
גדרה,2550,GEDERA,4,44,441,99,143,1,28896,28788,28112,108,1884,160,,1792663560,57,431,15002488,2020,Gedera,420
"גולן דרומי מ""א 71",1966,,2,29,294,71,,,,,,,,530,,2704074680,,,,2020,,211
"גולן צפוני מ""א 71",1962,,2,29,292,71,,,,,,,,530,,2709077860,,,,2020,,211
"גולן תיכון מ""א 71",1964,,2,29,293,71,,,,,,,,530,,2670076100,,,,2020,,211
גונן,852,GONEN,2,21,211,1,,1,353,353,340,1,1951,330,15,2607478109,89,253,10004591,2020,Gonen,211
גורן,755,GOREN,2,24,244,52,,1,413,407,405,6,1950,310,1,2224377349,367,255,10004302,2020,Goren,212
גורנות הגליל,1219,GORNOT HAGALIL,2,24,244,52,,1,206,205,188,1,1980,350,,2236377386,388,255,10004302,2020,Gornot HaGalil,212
גזית,457,GAZIT,2,23,233,9,,1,769,769,731,,1948,330,15,2422172722,129,254,10004394,2020,Gazit,213
גזר,370,GEZER,4,43,432,30,143,1,292,292,284,,1945,330,15,1925264268,122,426,10002228,2020,Gezer,
גיאה,706,GE'A,6,61,614,36,,1,976,976,950,,1949,310,1,1624261519,54,633,10001829,2020,Ge'a,
גיבתון,196,GIBBETON,4,44,441,28,143,1,386,386,382,,1933,350,,1811964406,42,456,10002241,2020,Gibbeton,420
גיזו,1043,GIZO,1,11,112,26,,1,212,212,209,,1968,350,,1943163471,196,151,15000597,2020,Gizo,
גילון,1204,GILON,2,24,242,56,241,1,1099,1099,1069,,1980,370,9,2225075645,293,205,10004465,2020,Gilon,210
גילת,736,GILAT,6,62,622,42,344,1,1493,1493,1483,,1949,310,1,1668758193,136,651,10001893,2020,Gilat,620
גינוסר,262,GINNOSAR,2,22,221,6,,1,580,579,555,2,1937,330,15,2493075035,-203,214,10004552,2020,Ginnosar,214
גיניגר,92,GINNEGAR,2,23,234,9,,1,669,664,646,5,1922,330,15,2244072994,107,254,10004411,2020,Ginnegar,213
גינתון,863,GINNATON,4,43,432,25,142,1,915,910,894,5,1949,310,1,1919965223,57,424,10002261,2020,Ginnaton,
גיתה,1206,GITTA,2,24,243,52,,1,293,293,255,,1980,370,13,2236176356,430,255,10004484,2020,Gitta,212
גיתית,3613,GITTIT,7,75,,75,,1,497,497,490,,1973,310,9,2375966764,301,712,10003299,2020,Gittit,710
גלאון,393,GAL'ON,6,61,611,35,,1,595,595,571,,1946,330,15,1856061576,199,632,10001813,2020,Gal'on,420
גלגל,3606,GILGAL,7,75,,75,,1,217,192,174,25,1970,330,15,2424165627,-248,712,10003299,2020,Gilgal,710
גליל ים,346,GELIL YAM,5,51,511,19,121,1,541,541,536,,1943,330,15,1842067381,43,401,10001605,2020,Gelil Yam,
"גליל עליון מז מ""א 1",1809,,2,21,212,1,,,,,,,,530,,2362077180,,,,2020,,211
"גליל עליון מז מ""א 2",1811,,2,21,212,2,,,,,,,,530,,2438076690,,,,2020,,211
"גליל עליון מז מ""א 55",1810,,2,21,212,55,,,,,,,,530,,2508077340,,,,2020,,211
"גליל עליון מז של""ש",1812,,2,21,212,,,,,,,,,530,,2385076890,,,,2020,,
"גליל תחתון מז מ""א 2",1820,,2,22,222,2,,,,,,,,530,,2419075400,,,,2020,,211
"גליל תחתון מז מ""א 3",1819,,2,22,222,3,,,,,,,,530,,2426074060,,,,2020,,214
"גליל תחתון מז מ""א 6",1821,,2,22,222,6,,,,,,,,530,,2484072760,,,,2020,,214
